,Goal 1,Goal 2,Goal 3,Goal 4,Avoid [Ambulance Mobilized At Station]
timestamp,cps,cps,cps,cps,cps
16:15:40.9325,0.9847,1.0000,1.0000,1.0000,0.9133
16:15:41.9324,0.9848,1.0000,1.0000,1.0000,0.9137
16:15:42.9324,0.9848,1.0000,1.0000,1.0000,0.9141
16:15:43.9356,0.9849,1.0000,1.0000,1.0000,0.9146
16:15:44.9356,0.9850,1.0000,1.0000,1.0000,0.9150
16:15:45.9357,0.9851,1.0000,1.0000,1.0000,0.9154
16:15:46.9357,0.9851,1.0000,1.0000,1.0000,0.9158
16:15:47.9358,0.9852,1.0000,1.0000,1.0000,0.9163
16:15:48.9389,0.9853,1.0000,1.0000,1.0000,0.9167
16:15:49.9418,0.9854,1.0000,1.0000,1.0000,0.9171
16:15:50.9419,0.9854,1.0000,1.0000,1.0000,0.9175
16:15:51.9419,0.9855,1.0000,1.0000,1.0000,0.9179
16:15:52.9419,0.9856,1.0000,1.0000,1.0000,0.9183
16:15:53.9420,0.9856,1.0000,1.0000,1.0000,0.9187
16:15:54.9428,0.9857,1.0000,1.0000,1.0000,0.9190
16:15:55.9448,0.9858,1.0000,1.0000,1.0000,0.9194
16:15:56.9448,0.9858,1.0000,1.0000,1.0000,0.9198
16:15:57.9457,0.9859,1.0000,1.0000,1.0000,0.9202
16:15:58.9477,0.9860,1.0000,1.0000,1.0000,0.9206
16:15:59.9478,0.9860,1.0000,1.0000,1.0000,0.9209
16:16:00.9478,0.9861,1.0000,1.0000,1.0000,0.9213
16:16:01.9494,0.9862,1.0000,1.0000,1.0000,0.9217
16:16:02.9493,0.9862,1.0000,1.0000,1.0000,0.9220
16:16:03.9494,0.9863,1.0000,1.0000,1.0000,0.9224
16:16:04.9533,0.9864,1.0000,1.0000,1.0000,0.9185
16:16:05.9537,0.9864,1.0000,1.0000,1.0000,0.9147
16:16:06.9538,0.9865,1.0000,1.0000,1.0000,0.9109
16:16:07.9538,0.9865,1.0000,1.0000,1.0000,0.9113
16:16:08.9560,0.9866,1.0000,1.0000,1.0000,0.9117
16:16:09.9560,0.9867,1.0000,1.0000,1.0000,0.9121
16:16:10.9579,0.9867,1.0000,1.0000,1.0000,0.9125
16:16:11.9579,0.9868,1.0000,1.0000,1.0000,0.9129
16:16:12.9580,0.9868,1.0000,1.0000,1.0000,0.9133
16:16:13.9580,0.9869,1.0000,1.0000,1.0000,0.9136
16:16:14.9580,0.9870,1.0000,1.0000,1.0000,0.9140
16:16:15.9612,0.9870,1.0000,1.0000,1.0000,0.9104
16:16:16.9621,0.9871,1.0000,1.0000,1.0000,0.9068
16:16:17.9633,0.9871,1.0000,1.0000,1.0000,0.9032
16:16:18.9634,0.9872,1.0000,1.0000,1.0000,0.8996
16:16:19.9635,0.9872,1.0000,1.0000,1.0000,0.8961
16:16:20.9640,0.9873,1.0000,1.0000,1.0000,0.8926
16:16:21.9640,0.9873,1.0000,1.0000,1.0000,0.8891
16:16:22.9641,0.9874,1.0000,1.0000,1.0000,0.8857
16:16:23.9642,0.9874,1.0000,1.0000,1.0000,0.8822
16:16:24.9642,0.9875,1.0000,1.0000,1.0000,0.8788
16:16:25.9643,0.9876,1.0000,1.0000,1.0000,0.8755
16:16:26.9644,0.9876,1.0000,1.0000,1.0000,0.8721
16:16:27.9647,0.9877,1.0000,1.0000,1.0000,0.8688
16:16:28.9647,0.9877,1.0000,1.0000,1.0000,0.8655
16:16:29.9648,0.9878,1.0000,1.0000,1.0000,0.8625
16:16:30.9648,0.9878,1.0000,1.0000,1.0000,0.8595
16:16:31.9649,0.9879,1.0000,1.0000,1.0000,0.8566
16:16:32.9658,0.9879,1.0000,1.0000,1.0000,0.8571
16:16:33.9659,0.9880,1.0000,1.0000,1.0000,0.8577
16:16:34.9673,0.9880,1.0000,1.0000,1.0000,0.8582
16:16:35.9707,0.9880,1.0000,1.0000,1.0000,0.8587
16:16:36.9717,0.9881,1.0000,1.0000,1.0000,0.8593
16:16:37.9717,0.9881,1.0000,1.0000,1.0000,0.8598
16:16:38.9759,0.9882,1.0000,1.0000,1.0000,0.8603
16:16:39.9772,0.9882,1.0000,1.0000,1.0000,0.8609
16:16:40.9774,0.9883,1.0000,1.0000,1.0000,0.8614
16:16:41.9774,0.9883,1.0000,1.0000,1.0000,0.8619
16:16:42.9775,0.9884,1.0000,1.0000,1.0000,0.8624
16:16:43.9775,0.9884,1.0000,1.0000,1.0000,0.8629
16:16:44.9804,0.9885,1.0000,1.0000,1.0000,0.8634
16:16:45.9810,0.9885,1.0000,1.0000,1.0000,0.8639
16:16:46.9814,0.9885,1.0000,1.0000,1.0000,0.8644
16:16:47.9817,0.9886,1.0000,1.0000,1.0000,0.8649
16:16:48.9822,0.9886,1.0000,1.0000,1.0000,0.8654
16:16:49.9822,0.9887,1.0000,1.0000,1.0000,0.8659
16:16:50.9827,0.9887,1.0000,1.0000,1.0000,0.8664
16:16:51.9830,0.9888,1.0000,1.0000,1.0000,0.8669
16:16:52.9831,0.9888,1.0000,1.0000,1.0000,0.8673
16:16:53.9831,0.9888,1.0000,1.0000,1.0000,0.8678
16:16:54.9832,0.9889,1.0000,1.0000,1.0000,0.8683
16:16:55.9834,0.9889,1.0000,1.0000,1.0000,0.8687
16:16:56.9834,0.9890,1.0000,1.0000,1.0000,0.8692
16:16:57.9835,0.9890,1.0000,1.0000,1.0000,0.8697
16:16:58.9836,0.9891,1.0000,1.0000,1.0000,0.8701
16:16:59.9836,0.9891,1.0000,1.0000,1.0000,0.8706
16:17:00.9861,0.9891,1.0000,1.0000,1.0000,0.8710
16:17:01.9891,0.9892,1.0000,1.0000,1.0000,0.8715
16:17:02.9891,0.9892,1.0000,1.0000,1.0000,0.8719
16:17:03.9892,0.9892,1.0000,1.0000,1.0000,0.8724
16:17:04.9915,0.9893,1.0000,1.0000,1.0000,0.8728
16:17:05.9941,0.9893,1.0000,1.0000,1.0000,0.8732
16:17:06.9971,0.9894,1.0000,1.0000,1.0000,0.8737
16:17:07.9999,0.9894,1.0000,1.0000,1.0000,0.8741
16:17:08.9999,0.9894,1.0000,1.0000,1.0000,0.8745
16:17:10.0004,0.9895,1.0000,1.0000,1.0000,0.8750
16:17:11.0017,0.9895,1.0000,1.0000,1.0000,0.8754
16:17:12.0018,0.9895,1.0000,1.0000,1.0000,0.8758
16:17:13.0018,0.9896,1.0000,1.0000,1.0000,0.8762
16:17:14.0019,0.9896,1.0000,1.0000,1.0000,0.8766
16:17:15.0019,0.9897,1.0000,1.0000,1.0000,0.8770
16:17:16.0020,0.9897,1.0000,1.0000,1.0000,0.8774
16:17:17.0022,0.9897,1.0000,1.0000,1.0000,0.8778
16:17:18.0026,0.9898,1.0000,1.0000,1.0000,0.8782
16:17:19.0035,0.9898,1.0000,1.0000,1.0000,0.8786
16:17:20.0069,0.9898,1.0000,1.0000,1.0000,0.8790
16:17:21.0083,0.9899,1.0000,1.0000,1.0000,0.8794
16:17:22.0115,0.9899,1.0000,1.0000,1.0000,0.8798
16:17:23.0115,0.9899,1.0000,1.0000,1.0000,0.8802
16:17:24.0144,0.9900,1.0000,1.0000,1.0000,0.8806
16:17:25.0168,0.9900,1.0000,1.0000,1.0000,0.8810
16:17:26.0168,0.9900,1.0000,1.0000,1.0000,0.8814
16:17:27.0169,0.9901,1.0000,1.0000,1.0000,0.8817
16:17:28.0169,0.9901,1.0000,1.0000,1.0000,0.8821
16:17:29.0278,0.9901,1.0000,1.0000,1.0000,0.8825
16:17:30.0290,0.9902,1.0000,1.0000,1.0000,0.8829
16:17:31.0297,0.9902,1.0000,1.0000,1.0000,0.8832
16:17:32.0311,0.9902,1.0000,1.0000,1.0000,0.8836
